file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
Desktop/artist-booking-os/.env.example,Desktop/artist-booking-os/.env.example,2026-02-24T02:20:38+00:00,2026-02-24T17:16:20+00:00,5,5,2,0.00,
Desktop/artist-booking-os/README.md,Desktop/artist-booking-os/README.md,2026-02-24T10:45:28+00:00,2026-02-24T17:16:20+00:00,2,2,2,0.00,
Desktop/artist-booking-os/docs/GO_LIVE_TODO.md,Desktop/artist-booking-os/docs/GO_LIVE_TODO.md,2026-02-24T02:21:41+00:00,2026-02-24T17:25:36+00:00,25,25,2,0.00,
Desktop/artist-booking-os/docs/monetization-strategy.md,Desktop/artist-booking-os/docs/monetization-strategy.md,2026-02-24T10:45:28+00:00,2026-02-24T10:45:28+00:00,1,1,1,0.00,
Desktop/artist-booking-os/locales/en.json,Desktop/artist-booking-os/locales/en.json,2026-02-24T14:24:51+00:00,2026-02-24T14:24:51+00:00,1,1,1,0.00,
Desktop/artist-booking-os/middleware.ts,Desktop/artist-booking-os/middleware.ts,2026-02-24T02:20:50+00:00,2026-02-24T03:00:14+00:00,2,2,2,0.00,
Desktop/artist-booking-os/prisma/schema.prisma,Desktop/artist-booking-os/prisma/schema.prisma,2026-02-24T10:45:28+00:00,2026-02-24T10:45:28+00:00,1,1,1,0.00,
Desktop/artist-booking-os/prisma/seed.ts,Desktop/artist-booking-os/prisma/seed.ts,2026-02-24T10:45:28+00:00,2026-02-24T10:45:28+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(auth)/login/page.tsx,Desktop/artist-booking-os/src/app/(auth)/login/page.tsx,2026-02-24T13:48:53+00:00,2026-02-24T17:16:20+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/app/(auth)/register/page.tsx,Desktop/artist-booking-os/src/app/(auth)/register/page.tsx,2026-02-24T13:48:53+00:00,2026-02-24T17:16:20+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/app/(auth)/verify/page.tsx,Desktop/artist-booking-os/src/app/(auth)/verify/page.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/agent/invoices/page.tsx,Desktop/artist-booking-os/src/app/(dashboard)/dashboard/agent/invoices/page.tsx,2026-02-24T04:26:42+00:00,2026-02-24T04:26:42+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/agent/quotes/page.tsx,Desktop/artist-booking-os/src/app/(dashboard)/dashboard/agent/quotes/page.tsx,2026-02-24T04:26:42+00:00,2026-02-24T04:26:42+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/page.tsx,Desktop/artist-booking-os/src/app/(dashboard)/dashboard/page.tsx,2026-02-24T03:28:33+00:00,2026-02-24T04:06:47+00:00,4,4,1,0.00,
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/presenter/invoices/page.tsx,Desktop/artist-booking-os/src/app/(dashboard)/dashboard/presenter/invoices/page.tsx,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(dashboard)/dashboard/presenter/requests/new/page.tsx,Desktop/artist-booking-os/src/app/(dashboard)/dashboard/presenter/requests/new/page.tsx,2026-02-24T03:34:59+00:00,2026-02-24T03:46:37+00:00,2,2,1,0.00,
Desktop/artist-booking-os/src/app/(public)/about/page.tsx,Desktop/artist-booking-os/src/app/(public)/about/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T14:24:51+00:00,3,3,2,0.00,
Desktop/artist-booking-os/src/app/(public)/agents/[slug]/page.tsx,Desktop/artist-booking-os/src/app/(public)/agents/[slug]/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/agents/page.tsx,Desktop/artist-booking-os/src/app/(public)/agents/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/artists/[slug]/page.tsx,Desktop/artist-booking-os/src/app/(public)/artists/[slug]/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T05:19:53+00:00,5,5,2,0.00,
Desktop/artist-booking-os/src/app/(public)/artists/page.tsx,Desktop/artist-booking-os/src/app/(public)/artists/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/developers/page.tsx,Desktop/artist-booking-os/src/app/(public)/developers/page.tsx,2026-02-24T05:19:53+00:00,2026-02-24T05:19:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/help/page.tsx,Desktop/artist-booking-os/src/app/(public)/help/page.tsx,2026-02-24T11:17:01+00:00,2026-02-24T12:49:49+00:00,2,2,1,0.00,
Desktop/artist-booking-os/src/app/(public)/presenters/[slug]/page.tsx,Desktop/artist-booking-os/src/app/(public)/presenters/[slug]/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/presenters/page.tsx,Desktop/artist-booking-os/src/app/(public)/presenters/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/pricing/page.tsx,Desktop/artist-booking-os/src/app/(public)/pricing/page.tsx,2026-02-24T10:45:28+00:00,2026-02-24T14:24:51+00:00,5,5,2,0.00,
Desktop/artist-booking-os/src/app/(public)/security/page.tsx,Desktop/artist-booking-os/src/app/(public)/security/page.tsx,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/(public)/system/page.tsx,Desktop/artist-booking-os/src/app/(public)/system/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T16:41:34+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/app/(public)/terms/page.tsx,Desktop/artist-booking-os/src/app/(public)/terms/page.tsx,2026-02-24T02:20:11+00:00,2026-02-24T02:20:11+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/api/help/contact/route.ts,Desktop/artist-booking-os/src/app/api/help/contact/route.ts,2026-02-24T02:20:38+00:00,2026-02-24T17:15:29+00:00,3,3,2,0.00,
Desktop/artist-booking-os/src/app/api/invoices/[id]/pay/route.ts,Desktop/artist-booking-os/src/app/api/invoices/[id]/pay/route.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/api/invoices/[id]/route.ts,Desktop/artist-booking-os/src/app/api/invoices/[id]/route.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/api/invoices/reset/route.ts,Desktop/artist-booking-os/src/app/api/invoices/reset/route.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/api/invoices/route.ts,Desktop/artist-booking-os/src/app/api/invoices/route.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/favicon.ico/route.ts,Desktop/artist-booking-os/src/app/favicon.ico/route.ts,2026-02-24T02:21:01+00:00,2026-02-24T13:48:53+00:00,2,2,1,0.00,
Desktop/artist-booking-os/src/app/globals.css,Desktop/artist-booking-os/src/app/globals.css,2026-02-24T05:19:53+00:00,2026-02-24T13:48:53+00:00,3,3,2,0.00,
Desktop/artist-booking-os/src/app/icon.svg,Desktop/artist-booking-os/src/app/icon.svg,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/layout.tsx,Desktop/artist-booking-os/src/app/layout.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/robots.ts,Desktop/artist-booking-os/src/app/robots.ts,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/app/sitemap.ts,Desktop/artist-booking-os/src/app/sitemap.ts,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/auth/AdminMfaPanel.tsx,Desktop/artist-booking-os/src/components/auth/AdminMfaPanel.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,1.00,auth
Desktop/artist-booking-os/src/components/auth/MagicLinkSentPanel.tsx,Desktop/artist-booking-os/src/components/auth/MagicLinkSentPanel.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,1.00,auth
Desktop/artist-booking-os/src/components/auth/RoleRadioSelector.tsx,Desktop/artist-booking-os/src/components/auth/RoleRadioSelector.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,1.00,auth
Desktop/artist-booking-os/src/components/developers/CodeBlock.tsx,Desktop/artist-booking-os/src/components/developers/CodeBlock.tsx,2026-02-24T05:19:53+00:00,2026-02-24T05:19:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/help/HelpContactForm.tsx,Desktop/artist-booking-os/src/components/help/HelpContactForm.tsx,2026-02-24T02:20:38+00:00,2026-02-24T17:15:41+00:00,5,5,1,0.00,
Desktop/artist-booking-os/src/components/help/HelpSearch.tsx,Desktop/artist-booking-os/src/components/help/HelpSearch.tsx,2026-02-24T11:17:01+00:00,2026-02-24T11:17:01+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/invoices/MockInvoiceWorkspace.tsx,Desktop/artist-booking-os/src/components/invoices/MockInvoiceWorkspace.tsx,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/landing/final-cta-section.tsx,Desktop/artist-booking-os/src/components/landing/final-cta-section.tsx,2026-02-24T03:46:25+00:00,2026-02-24T17:15:41+00:00,4,4,2,0.00,
Desktop/artist-booking-os/src/components/landing/hero-section.tsx,Desktop/artist-booking-os/src/components/landing/hero-section.tsx,2026-02-24T03:46:25+00:00,2026-02-24T17:15:41+00:00,6,6,2,0.00,
Desktop/artist-booking-os/src/components/landing/how-it-works-section.tsx,Desktop/artist-booking-os/src/components/landing/how-it-works-section.tsx,2026-02-24T12:00:12+00:00,2026-02-24T13:59:29+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/components/landing/logo-strip-section.tsx,Desktop/artist-booking-os/src/components/landing/logo-strip-section.tsx,2026-02-24T13:59:29+00:00,2026-02-24T13:59:29+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/landing/role-tabs-section.tsx,Desktop/artist-booking-os/src/components/landing/role-tabs-section.tsx,2026-02-24T11:45:56+00:00,2026-02-24T13:59:29+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/components/landing/trust-section.tsx,Desktop/artist-booking-os/src/components/landing/trust-section.tsx,2026-02-24T12:00:12+00:00,2026-02-24T12:00:12+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/layout/PublicFooter.tsx,Desktop/artist-booking-os/src/components/layout/PublicFooter.tsx,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/layout/PublicHeader.tsx,Desktop/artist-booking-os/src/components/layout/PublicHeader.tsx,2026-02-24T12:14:55+00:00,2026-02-24T12:14:55+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/messages/ChatThread.tsx,Desktop/artist-booking-os/src/components/messages/ChatThread.tsx,2026-02-24T05:20:02+00:00,2026-02-24T05:20:02+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/notifications/NotificationInbox.tsx,Desktop/artist-booking-os/src/components/notifications/NotificationInbox.tsx,2026-02-24T04:26:42+00:00,2026-02-24T04:26:42+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,Desktop/artist-booking-os/src/components/pricing/PricingEstimator.tsx,2026-02-24T12:49:43+00:00,2026-02-24T17:15:41+00:00,4,4,1,0.00,
Desktop/artist-booking-os/src/components/shared/DirectoryCard.tsx,Desktop/artist-booking-os/src/components/shared/DirectoryCard.tsx,2026-02-24T16:41:12+00:00,2026-02-24T16:41:12+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/site-footer.tsx,Desktop/artist-booking-os/src/components/site-footer.tsx,2026-02-24T02:21:01+00:00,2026-02-24T17:15:54+00:00,3,3,2,0.00,
Desktop/artist-booking-os/src/components/site-header.tsx,Desktop/artist-booking-os/src/components/site-header.tsx,2026-02-24T14:43:23+00:00,2026-02-24T14:43:23+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/ui/button.tsx,Desktop/artist-booking-os/src/components/ui/button.tsx,2026-02-24T05:33:44+00:00,2026-02-24T05:33:44+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/components/ui/field.tsx,Desktop/artist-booking-os/src/components/ui/field.tsx,2026-02-24T13:48:53+00:00,2026-02-24T13:48:53+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/content/help/help-center-faq.mdx,Desktop/artist-booking-os/src/content/help/help-center-faq.mdx,2026-02-24T14:24:51+00:00,2026-02-24T14:24:51+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/analytics.ts,Desktop/artist-booking-os/src/lib/analytics.ts,2026-02-24T17:15:41+00:00,2026-02-24T17:15:41+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/auth-readiness.ts,Desktop/artist-booking-os/src/lib/auth-readiness.ts,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/auth.ts,Desktop/artist-booking-os/src/lib/auth.ts,2026-02-24T03:20:38+00:00,2026-02-24T17:16:20+00:00,2,2,2,0.00,
Desktop/artist-booking-os/src/lib/constants.ts,Desktop/artist-booking-os/src/lib/constants.ts,2026-02-24T10:45:28+00:00,2026-02-24T10:45:28+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/directory-demo-data.ts,Desktop/artist-booking-os/src/lib/directory-demo-data.ts,2026-02-24T02:20:11+00:00,2026-02-24T17:16:09+00:00,3,3,1,0.00,
Desktop/artist-booking-os/src/lib/health.ts,Desktop/artist-booking-os/src/lib/health.ts,2026-02-24T02:20:50+00:00,2026-02-24T17:16:20+00:00,3,3,2,0.00,
Desktop/artist-booking-os/src/lib/mock-invoice-runtime.ts,Desktop/artist-booking-os/src/lib/mock-invoice-runtime.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/mock-invoice-store.ts,Desktop/artist-booking-os/src/lib/mock-invoice-store.ts,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/payments/airwallex-test.ts,Desktop/artist-booking-os/src/lib/payments/airwallex-test.ts,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/lib/public-navigation.ts,Desktop/artist-booking-os/src/lib/public-navigation.ts,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/src/messages/en.json,Desktop/artist-booking-os/src/messages/en.json,2026-02-24T02:20:11+00:00,2026-02-24T16:41:34+00:00,4,4,2,0.00,
Desktop/artist-booking-os/src/types/next-auth.d.ts,Desktop/artist-booking-os/src/types/next-auth.d.ts,2026-02-24T03:20:38+00:00,2026-02-24T03:20:38+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/e2e/invoice-module.spec.ts,Desktop/artist-booking-os/tests/e2e/invoice-module.spec.ts,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/ui-regression.spec.ts,Desktop/artist-booking-os/tests/ui-regression.spec.ts,2026-02-24T05:20:08+00:00,2026-02-24T05:20:08+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/auth-readiness.test.ts,Desktop/artist-booking-os/tests/unit/auth-readiness.test.ts,2026-02-24T17:16:20+00:00,2026-02-24T17:16:20+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/auth-session-config.test.ts,Desktop/artist-booking-os/tests/unit/auth-session-config.test.ts,2026-02-24T03:20:38+00:00,2026-02-24T03:20:38+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/health.test.ts,Desktop/artist-booking-os/tests/unit/health.test.ts,2026-02-24T02:20:50+00:00,2026-02-24T03:00:14+00:00,2,2,2,0.00,
Desktop/artist-booking-os/tests/unit/mock-invoice-runtime.test.ts,Desktop/artist-booking-os/tests/unit/mock-invoice-runtime.test.ts,2026-02-24T17:04:00+00:00,2026-02-24T17:04:00+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/mock-invoice-store.test.ts,Desktop/artist-booking-os/tests/unit/mock-invoice-store.test.ts,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/public-navigation.test.ts,Desktop/artist-booking-os/tests/unit/public-navigation.test.ts,2026-02-24T17:15:54+00:00,2026-02-24T17:15:54+00:00,1,1,1,0.00,
Desktop/artist-booking-os/tests/unit/webhook-auth.test.ts,Desktop/artist-booking-os/tests/unit/webhook-auth.test.ts,2026-02-24T10:45:03+00:00,2026-02-24T10:45:03+00:00,1,1,1,0.00,
